representative,synonym,group_size
no motion for an extended period of time,no motion for an extended period of time,1
no one else to help them after they fall down,no one else to help them after they fall down,1
no structural stabilization or back support for the patient,no structural stabilization or back support for the patient,1
no supervision in times of accident or emergency,no supervision in times of accident or emergency,1
no way to automatically control the duration of the red traffic light condition,no way to automatically control the duration of the red traffic light condition,1
non-foldable rigid frames,non-foldable rigid frames,1
non-movement,non-movement,1
non-optimal working posture,non-optimal working posture,1
non-weight bearing status due to lower extremity injury or surgery,non-weight bearing status due to lower extremity injury or surgery,1
none disclose the unique features of the present invention,none disclose the unique features of the present invention,1
nosocomial infections such as antibiotic-resistant staph,nosocomial infections,2
nosocomial infections such as antibiotic-resistant staph,nosocomial infections such as antibiotic-resistant staph,2
not able to be fixed to the wall or to any mobile transport carrier,not able to be fixed to the wall or to any mobile transport carrier,1
not advantageous for assistance in movement besides moving from a laying down position to a sitting up position,not advantageous for assistance in movement besides moving from a laying down position to a sitting up position,1
not all women qualify for blastocyst transfer,not all women qualify for blastocyst transfer,1
not always implemented in a fashion that well suits the needs of the expected user population,not always implemented in a fashion that well suits the needs of the expected user population,1
not attached to the walker,not attached to the walker,1
not capable of supporting and producing a viable blastocyst stage embryo,not capable of supporting and producing a viable blastocyst stage embryo,1
not compact,not compact,1
not configured to affix accessories in a safe and easy manner,not configured to affix accessories in a safe and easy manner,1
not covered by insurance,not covered by insurance,1
not designed for a home setting,not designed for a home setting,1
not designed for rehabilitation aid,not designed for rehabilitation aid,1
not designed to provide adequate suspension for mobility over rough outdoor surfaces,not designed to provide adequate suspension for mobility over rough outdoor surfaces,1
not disclosed an unassisted portable aid to descend and ascend stairs,not disclosed an unassisted portable aid to descend and ascend stairs,1
not easy for a carer to move a patient from a sickbed to the movable bed,not easy for a carer to move a patient from a sickbed to the movable bed,1
not economically feasible for many individuals,not economically feasible for many individuals,1
not enough caretakers,not enough caretakers,1
not everyone is able to benefit from these technologies,not everyone is able to benefit from these technologies,1
not found a portable lift and lowering device affordable to most people,not found a lift device specifically designed to lift and lower ambulatory patients,2
not found a portable lift and lowering device affordable to most people,not found a portable lift and lowering device affordable to most people,2
not fully adjustable to accommodate user support of different size or structure,not fully adjustable to accommodate user support of different size or structure,1
not highly efficient,not highly efficient,1
not portable,not portable,3
not portable,not portable in transportation,3
not portable,some devices not being portable,3
not possible to connect equipment short-term,not possible to connect equipment short-term,1
not practical for some people to live a completely independent life,not practical for some people to live a completely independent life,1
not provide an enclosure to essentially surround the person,not provide an enclosure to essentially surround the person,1
not taking medication on purpose because they are uncertain if they have already taken it,not taking medication on purpose because they are uncertain if they have already taken it,1
not wearing seatbelts,not wearing seatbelts,1
not well suited to persons of varying body types,not well suited to persons of varying body types,1
rise in the number of seniors,number of older adults is growing dramatically,2
rise in the number of seniors,rise in the number of seniors,2
number of people in need of emergency response services,number of people in need of emergency response services,1
number of seniors is rising faster than the younger caregiving population,number of seniors is rising faster than the younger caregiving population,1
numerous errors and omissions,numerous errors and omissions,1
nutritional homeostasis,nutritional homeostasis,1
obstacles to normal fertilization,obstacles to normal fertilization,1
obstetrical complications,obstetrical complications,1
obtaining indicators for selecting embryos,obtaining indicators for selecting embryos,1
offset existing between the center of the hip joint and the actuator,offset existing between the center of the hip joint and the actuator,1
on-line predators,on-line predators,1
one fifth of falling elders are admitted to hospital after staying on the floor for over one hour following a fall,one fifth of falling elders are admitted to hospital after staying on floor for over one hour following a fall,4
one fifth of falling elders are admitted to hospital after staying on the floor for over one hour following a fall,one fifth of falling elders are admitted to hospital after staying on the floor for over one hour,4
one fifth of falling elders are admitted to hospital after staying on the floor for over one hour following a fall,one fifth of falling elders are admitted to hospital after staying on the floor for over one hour following a fall,4
one fifth of falling elders are admitted to hospital after staying on the floor for over one hour following a fall,seniors are hospitalized for fall-related injuries 5 times more often,4
one of the top three causes of death in elderly people,one of the top three causes of death in elderly people,1
one-time assessment of function,one-time assessment of function,1
"one-time, push-button devices","one-time, push-button devices",1
ongoing and persistent problems encountered by care-givers when transferring a bed-ridden person,ongoing and persistent problems encountered by care-givers when transferring a bed-ridden person,1
only 75% compliant,only 75% compliant,1
only a small subset of the blastocysts transferred to the mother actually implant,only a small subset of the blastocysts transferred to the mother actually implant,1
only a subset of eggs collected from patients are at an appropriate stage of maturation,only a subset of eggs collected from patients are at an appropriate stage of maturation,1
only be used to rest,only be used to rest,1
only monitors user's activities in real time,only monitors user's activities in real time,1
only one style or type of alert is initiated,only one style or type of alert is initiated,1
onset of dementia,onset of alzheimer's disease,2
onset of dementia,onset of dementia,2
oocyte dysfunction,oocyte dysfunction,1
operations putting their health at risk,operations putting their health at risk,1
orientation or posture,orientation or posture,1
orientation sensing,orientation sensing,1
orthopedic procedures,orthopedic procedures,1
outdated alert systems,outdated alert systems,1
over 50% of falls among seniors were never reported to a health professional,over 50% of falls among seniors were never reported to a health professional,1
reporting an overly optimistic probability of achieving a pregnancy,over-estimating the couple's probability of achieving a pregnancy,5
reporting an overly optimistic probability of achieving a pregnancy,overestimating the couple's probability of achieving a pregnancy,5
reporting an overly optimistic probability of achieving a pregnancy,reporting a higher probability of achieving a pregnancy,5
reporting an overly optimistic probability of achieving a pregnancy,reporting an overly optimistic probability of achieving a pregnancy,5
reporting an overly optimistic probability of achieving a pregnancy,reporting an overly optimistic probability of achieving a pregnancy or live birth,5
over-taking or under-taking medicines,over-taking or under-taking medicines,1
over-using the medications,over-using the medications,4
over-using the medications,overdosing their medication by taking it more than once,4
over-using the medications,overuse or abuse of certain medications,4
over-using the medications,under-using the medications,4
overall shortage of such providers,overall shortage of such providers,1
overload of the muscles and/or back,overload of the muscles and/or back,1
overloaded cellular circuits,overloaded cellular circuits,1
overly simplistic devices that do not provide a complete solution,overly simplistic devices that do not provide a complete solution,1
overwhelming the person's ability to learn,overwhelming the person's ability to learn,1
ovulation disorder,ovulation disorder,1
pain,pain,1
pain solely from the physical handling and lifting,pain solely from the physical handling and lifting,1
pressure sores,painful pressure ulcers or bed sores,4
pressure sores,pressure sores,4
pressure sores,pressure ulcers,4
pressure sores,resulting bed sores,4
panic or confusion,panic or confusion,2
panic or confusion,person may panic and be confused,2
paralysis limitations from neurological conditions,paralysis limitations from neurological conditions,1
parent lacks the technological sophistication,parent lacks the technological sophistication,1
parents are faced with additional challenges in managing the risks,parents are faced with additional challenges in managing the risks,1
passing red lights,passing red lights,1
passive influence on that person's mobility level progression,passive influence on that person's mobility level progression,1
passive unit-carried devices providing no distance and direction capabilities,passive unit-carried devices providing no distance and direction capabilities,1
pathological balance and gait disorders,pathological balance and gait disorders,1
patient compliance,patient compliance,1
"patient falling backward, or to the side","patient falling backward, or to the side",1
patient falls and sliding onto the floor are common,patient falls and sliding onto the floor are common,1
patient has to be transported to the doctor's office or other diagnostic facility,patient has to be transported to the doctor's office,4
patient has to be transported to the doctor's office or other diagnostic facility,patient has to be transported to the doctor's office or other diagnostic facility,4
patient has to be transported to the doctor's office or other diagnostic facility,transportation to the doctor's office or other diagnostic facility,4
patient has to be transported to the doctor's office or other diagnostic facility,transporting the patient to the doctor's office for evaluation and treatment,4
patient instability,patient instability,1
"patient lifts are generally expensive, bulky and difficult to use","patient lifts are generally expensive, bulky and difficult to use",1
patient mix ups or misidentification of biological samples,patient mix ups or misidentification of biological samples,1
patient needs to be in close proximity to see the lights or hear the beeps,patient needs to be in close proximity to see the lights or hear the beeps,1
patient signaling options and transceiver functions making systems complex and expensive,patient signaling options and transceiver functions making systems complex and expensive,1
patient's compliance or mental capacity,patient's compliance or mental capacity,1
patient's dignity and confidence needs to be built,patient's dignity and confidence needs to be built,1
patients are often confused about how to inject themselves,patients are injecting themselves,2
patients are often confused about how to inject themselves,patients are often confused about how to inject themselves,2
patients are unable to provide for their own care,patients are unable to provide for their own care,3
patients are unable to provide for their own care,patients unable to provide for their own care,3
patients are unable to provide for their own care,unable to assist or only partially assist in their own care,3
patients can be immobilized to the point that they become at least temporarily bedridden,patients can be immobilized to the point that they become at least temporarily bedridden,1
patients often become forgetful,patients often become forgetful,1
patients sometimes refuse to be shifted,patients sometimes refuse to be shifted,1
patients who have spinal problems sometimes do not keep correct posture,patients who have spinal problems sometimes do not keep correct posture,1
"patients, especially, elderly patients require constant monitoring to avoid falls","patients, especially, elderly patients require constant monitoring to avoid falls",1
pedometers often erroneously record movements other than walking,pedometers often erroneously record movements other than walking,1
pelvic fracture,pelvic fracture,1
people are abducted,people are abducted,1
people at risk for health conditions,people at risk for health conditions,1
people go missing,people go missing,1
people who are too weak to support their own weight in standing,people who are too weak to support their own weight in standing,1
"people who are vigorous, and for unknown reasons have a fall or stumble across a piece of furniture or something else","people who are vigorous, and for unknown reasons have a fall or stumble across a piece of furniture or something else",1
people who miss doses need 3 times as many doctor visits,people who miss doses need 3 times as many doctor visits,1
perceive either type of care as an affront to their autonomy,perceive either type of care as an affront to their autonomy,1
perceived need for a prisoner tracking and control system,perceived need for a prisoner tracking and control system,1
periodic patient transfers,periodic patient transfers,1
permanent or persistent disability or death,permanent or persistent disability or death,2
permanent or persistent disability or death,temporarily or permanently totally disabled,2
persistent lack of stretching and exercise over time,persistent lack of stretching and exercise over time,1
person's emotional state,person's emotional state,1
personal emergencies,personal emergencies,1
persons falling over due to a heart attack,persons falling over due to a heart attack,1
persons sitting for long periods of time may suffer from a wide range of physical issues,persons sitting for long periods of time may suffer from a wide range of physical issues,2
persons sitting for long periods of time may suffer from a wide range of physical issues,physical issues from sitting for long periods of time,2
persons with functional impairments,persons with functional impairments,1
pets straying too far from a home location,pets straying too far from a home location,1
phone networks congested into uselessness,phone networks congested into uselessness,1
physical abuse,physical abuse,1
physical aging,physical aging,1
physical and mental obstacles being faced by injured individuals,physical and mental obstacles being faced by injured individuals,1
physical bullying in the schoolyard,physical bullying in the schoolyard,1
physical degradation and reliance on aids,physical degradation and reliance on aids,1
physical demands on care providers,physical demands on care providers,1
physical deterioration,physical deterioration,1
physical injury,physical injury,1
physical modification required to the home,physical modification required to the home,1
physical pain and/or damage to the bed-ridden person,physical pain and/or damage to the bed-ridden person,1
physical positioning of subjects,physical positioning of subjects,1
physical stress that may impede or even stall embryo development,physical stress that may impede or even stall embryo development,1
physically challenged patient,physically challenged,2
physically challenged patient,physically challenged patient,2
physically incapable of exercising and stretching without assistance,physically incapable of exercising and stretching without assistance,1
physiological and medical results of a fall,physiological and medical results of a fall,1
physiological complications associated when unable to perform certain tasks unassisted,physiological complications associated when unable to perform certain tasks unassisted,2
physiological complications associated when unable to perform certain tasks unassisted,physiological complications associated with being unable to perform certain tasks unassisted,2
physiological status begins to dramatically degrade with time,physiological status begins to dramatically degrade with time,1
placing undue strain on a third party,placing undue strain on a third party,2
placing undue strain on a third party,placing undue strain on the individual,2
pneumonia,pneumonia,1
victim may not have knowledge of the abuser's location,police or local authorities do not have the ability to constantly track the location of the abuser,2
victim may not have knowledge of the abuser's location,victim may not have knowledge of the abuser's location,2
polycystic ovary syndrome (pcos),polycystic ovary disease,2
polycystic ovary syndrome (pcos),polycystic ovary syndrome (pcos),2
polypharmacy,polypharmacy,1
poor development,poor development,1
poor joint mobility,poor joint mobility,1
poor posture when using a traditional walker,poor posture when using a traditional walker,1
poor results following embryo transfer,poor results following embryo transfer,3
poor results following embryo transfer,poor results following freezing and thawing (storage) of such embryos,3
poor results following embryo transfer,unsuccessful implantation after blastocyst transfer,3
poorly predictive morphologic criteria,poorly predictive morphologic criteria,1
population needs continuous medical supervision and care,population needs continuous medical supervision and care,1
position of the clamping device is not secured,position of the clamping device is not secured,1
position of the strap on the overhead bar is not secured,position of the strap on the overhead bar is not secured,1
possibility of accidentally falling forward,possibility of accidentally falling forward,1
possibility of accidents when a carer or family dependent cares for a patient,possibility of accidents when a carer or family dependent cares for a patient,1
possible hazard,possible hazard,5
possible hazard,potential risks,5
possible hazard,significant hazard to life,5
possible hazard,significant hazard to property,5
possible hazard,significant hazard to the resident,5
possibly restrained stability of the medicament,possibly restrained stability of the medicament,1
post-surgery,post-surgery,1
postural alignment,postural alignment,1
potential causes for failure of ivf are diverse,potential causes for failure of ivf are diverse,1
potential confusion to less-functional users,potential confusion to less-functional users,1
risk of abuse,potential for misuse,2
risk of abuse,risk of abuse,2
potential hazardous situations characterized by inactivity,potential hazardous situations characterized by inactivity,1
potential injuries to the invalid,potential injuries to the invalid,1
potential of tampering with the pre-filled medication tray,potential of tampering with the pre-filled medication tray,1
potentially dangerous movements for a patient with reduced mobility,potentially dangerous movements for a patient with reduced mobility,1
potentially reducing the success rate of treatments,potentially reducing the success rate of treatments,1
potentially unstable device while in use,potentially unstable device while in use,2
potentially unstable device while in use,unstable device,2
power consumption of the subject-worn device will be significant,power consumption of the subject-worn device will be significant,1
powered options require electricity,powered options require electricity,2
powered options require electricity,powered options require electricity and some power source,2
pre-term birth,pre-term birth,3
pre-term birth,prematurity,3
pre-term birth,preterm labor,3
predictive warning before an event,predictive warning before an event,1
predominately manual devices requiring the assistance of a second person,predominately manual devices requiring the assistance of a second person,1
premature lh surge,premature lh surge,5
premature lh surge,premature lh surges,5
premature lh surge,premature luteinization,5
premature lh surge,premature ovulation,5
premature lh surge,premature surges of luteinizing hormone (lh),5
premature luteolysis,premature luteolysis,1
premature ovarian failure,premature ovarian failure,1
prematurity with potential for long term damage,prematurity with potential for long term damage,1
"presence of a nurse, assistant, or doctor is necessary","presence of a nurse, assistant, or doctor is necessary",1
presence of adequate care providers is not continual,presence of adequate care providers is not continual,1
prevent an attack from occurring,prevent an attack from occurring,1
previous falls are a strong indicator of the potential for future falls,previous falls are a strong indicator of the potential for future falls,1
prior aneuploid conceptuses,prior aneuploid conceptuses,1
prior art assistance devices falling short of providing complete solutions,prior art assistance devices falling short of providing complete solutions,1
prior art devices fail to include a monitored unit comprising an ankle bracelet with an electroshock mechanism,prior art devices fail to include a monitored unit comprising an ankle bracelet with an electroshock mechanism,1
prior art devices fail to provide an alarm unit that creates an audible alert,prior art devices fail to provide an alarm unit that creates an audible alert,1
privacy concerns,privacy concerns,2
privacy concerns,privacy issues with invasive systems,2
privacy of the user,privacy of the user,1
prohibitive costs,prohibitive costs,1
prolonged exposure to high levels of fsh,prolonged exposure to high levels of fsh,1
prompt coping is not possible,prompt coping is not possible,1
prone to failure in power-loss and other emergency situations,prone to failure in power-loss and other emergency situations,1
property crime,property crime,1
protection of ambulating individuals,protection of ambulating individuals,1
provider not being able to complete all of the intended activities,provider not being able to complete all of the intended activities,1
providing proper and efficient care for individuals,providing proper and efficient care for individuals,1
psychological and physical ailments,psychological and physical ailments,1
psychological consequences,psychological consequences,1
psychological trauma from repeated treatment failures,psychological trauma from repeated treatment failures,1
psychologically painful process for patients,psychologically painful process for patients,2
psychologically painful process for patients,psychologically traumatic for a patient,2
public safety incidents,public safety incidents,1
put themselves at risk of injury during the attempt,put themselves at risk of injury during the attempt,1
quick opening and closing systems do not always resist,quick opening and closing systems do not always resist,1
rape,rape,1
rapid emergency response following a vehicle crash,rapid emergency response following a vehicle crash,1
reaching the button presents a difficult task,reaching the button presents a difficult task,1
recent falls,recent falls,1
reckless driving,reckless driving,1
recognizing deviations from normal life patterns that indicate the need for assistance,recognizing deviations from normal life patterns that indicate the need for assistance,1
record specific values only up to the alarm,record specific values only up to the alarm,1
recover more slowly than their younger brethren,recover more slowly than their younger brethren,1
recurrent spontaneous abortion,recurrent miscarriage,2
recurrent spontaneous abortion,recurrent spontaneous abortion,2
reduced accuracy of relevant information,reduced accuracy of relevant information,1
reduced activities and social interactions,reduced activities and social interactions,1
reduced body stability,reduced body stability,1
reduced capacity,reduced capacity,1
reduced pregnancy rates,reduced pregnancy rates,1
reducing false-positives,reducing false-positives,1
reduction in memory and cognitive function,reduction in memory and cognitive function,1
regression of a medical condition,regression of a medical condition,1
rehabilitation for walking,rehabilitation for walking,1
related cognitive disorders,related cognitive disorders,1
relatively expensive,relatively expensive,1
relatively immobile individuals,relatively immobile individuals,1
relatively low efficiencies of producing transferable stage embryos,relatively low efficiencies of producing transferable stage embryos,1
reliability in making emergency calls,reliability in making emergency calls,1
reliability of these devices can also be limited,reliability of these devices can also be limited,1
relief of loneliness and anxiety,relief of loneliness and anxiety,1
reluctance to use patient lifts,reluctance to use patient lifts,1
rely upon highly sophisticated wearable devices,rely upon highly sophisticated wearable devices,1
remembering which medication is the correct one to take at the proper time,remembering which medication is the correct one to take at the proper time,1
removal from tightly controlled culture environments during manual assessments,removal from tightly controlled culture environments during manual assessments,1
removing the medications,removing the medications,1
repeated failure,repeated failure,1
repeated falling,repeated falling,1
repeated removing/reattachment wears down both the device and patience of the user,repeated removing/reattachment wears down both the device and patience of the user,1
reproductive wastage,reproductive wastage,1
require a great deal of manual dexterity and strength to open and close,require a great deal of manual dexterity and strength to open and close,1
require a large or specialized vehicle for transport,require a large or specialized vehicle for transport,1
require active participation from a user,require active participation from a user,1
require adjustment to match the spring forces,require adjustment to match the spring forces,2
require adjustment to match the spring forces,require adjustment to match the spring forces to the weight of the occupant,2
require more technological skill to operate,require more technological skill to operate,1
require setup and/or ongoing maintenance by dedicated experts,require setup and/or ongoing maintenance by dedicated experts,1
require the assistance of other(s) to operate,require the assistance of other(s) to operate,1
requirement for specially instrumenting the home,requirement for specially instrumenting the home,1
requirement of a great deal of space,requirement of a great deal of space,1
requirement that the user carry it at all times,requirement that the user carry it at all times,1
requires a lot of outside intervention,requires a lot of outside intervention,1
requires at least two to three persons for operation,requires at least two persons to handle it efficiently,2
requires at least two to three persons for operation,requires at least two to three persons for operation,2
requires lifting and advancing the position of the device repetitively,requires lifting and advancing the position of the device repetitively,1
requiring additional storage space when not in use,requiring additional storage space when not in use,1
respective activities,respective activities,1
restricted in the variety of exercises they are capable of performing,restricted in the variety of exercises they are capable of performing,1
restrictions both as far as the quantity of data and also the calculation scope,restrictions both as far as the quantity of data and also the calculation scope,1
restrictions on space,restrictions on space,1
result of a kidnapping,result of a kidnapping,1
resulting bone fractures can require lengthy and costly treatment,resulting bone fractures can require lengthy and costly treatment,1
rigid and generally uncomfortable,rigid and generally uncomfortable,1
rigid structure walkers require burdensome lifting,rigid structure walkers require burdensome lifting,1
risk exists for anyone who spends long periods alone,risk exists for anyone who spends long periods alone,1
risk for the patient,risk for the patient,1
risk from wandering,risk from wandering,1
risk of serious personal injury,risk of accident,2
risk of serious personal injury,risk of serious personal injury,2
risk of being injured without a way to contact help,risk of being injured without a way to contact help,1
risk of being prematurely forced into a nursing home,risk of being prematurely forced into a nursing home,1
risk of buckling of the knee joint,risk of buckling of the knee joint,1
risk of cerebral palsy or lifetime disabilities,risk of cerebral palsy or lifetime disabilities,1
risk of early death,risk of early death,1
risk of experiencing a medical emergency that goes undiscovered,risk of experiencing a medical emergency that goes undiscovered,1
risk of injury to resident personnel,risk of injury to resident personnel,1
risk of losing one of the components,risk of losing one of the components,1
risk of low back pain,risk of low back pain,1
"risk of ovarian, endometrial and breast cancer","risk of ovarian, endometrial and breast cancer",1
risk of the patient stumbling,risk of the patient stumbling,1
risk of unknown infection,risk of unknown infection,1
risk to heat exhaustion,risk to heat exhaustion,1
risks associated with medications and surgical procedures,risks associated with medications and surgical procedures,1
risks of bodily injuries,risks of bodily injuries,1
risks the device being lost,risks the device being lost,1
road safety requirements,road safety requirements,1
robbery,robbery,1
rolling canes suffer from a number of disadvantages,rolling canes suffer from a number of disadvantages,1
room for improvement,room for improvement,1
rudimentary record keeping functions,rudimentary record keeping functions,1
safety of loved ones alone at their homes,safety of loved ones alone at their homes,2
safety of loved ones alone at their homes,serious concerns regarding the safety of elderly people living at home,2
samples are constantly moving thus being disturbed in their environment,samples are constantly moving thus being disturbed in their environment,1
seat swings down forcing the user to basically stand on their own,seat does not provide enough support as it swings up forcing the user to basically sit down on their own,2
seat swings down forcing the user to basically stand on their own,seat swings down forcing the user to basically stand on their own,2
seat raises straight up vertically and lowers straight down vertically,seat raises straight up vertically and lowers straight down vertically,1
secure and automatic detection of threats and harm,secure and automatic detection of threats and harm,1
secure fastening of large components,secure fastening of large components,1
security,security,1
self-inject medications at least 19 times in a two-week period,self-inject medications at least 19 times in a two-week period,1
self-management is not effective in preventing injuries and fatalities to pedestrians,self-management is not effective in preventing injuries and fatalities to pedestrians,1
"senior adults are more susceptible to a variety of conditions including osteoporosis, falls, fractures and balance control problems","senior adults are more susceptible to a variety of conditions including osteoporosis, falls, fractures and balance control problems",1
senior adults require this type of home exercise more than younger adults,senior adults require this type of home exercise more than younger adults,1
senior citizens,senior citizens,1
senior hospital admissions,senior hospital admissions,1
seniors are also subject to alzheimer's disease,seniors are also subject to alzheimer's disease,1
seniors get confused navigating through complex smartphone and app menus,seniors get confused navigating through complex smartphone and app menus,1
sensors in the systems can be used for only one functionality,sensors in the systems can be used for only one functionality,1
serious injuries to the old people,serious injuries to the old people,1
"serious injury, such as hip fractures and head trauma","serious injury, such as hip fractures and head trauma",1
severe adverse events,severe adverse events,1
"severe and sudden declines in orientation, awareness and responses","severe and sudden declines in orientation, awareness and responses",1
severe infecundity,severe infecundity,2
severe infecundity,severe infertilitas,2
severe physical ailment,severe physical ailment,1
shear injury to a bed sore,shear injury to a bed sore,1
shear of the skin,shear of the skin,1
shock can also be detected by a shock sensor worn on a person,shock can also be detected by a shock sensor worn on a person,2
shock can also be detected by a shock sensor worn on a person,shock detection,2
shock sensor is not triggered,shock sensor is not triggered,1
short and long term memory loss,short and long term memory loss,1
short-range transport capability,short-range transport capability,1
shortfall in social security trust fund,shortfall in social security trust fund,1
shuffling movement during walking,shuffling movement during walking,1
sick leave,sick leave,1
significant development and/or performance hurdles remain unaddressed,significant development and/or performance hurdles remain unaddressed,1
significant human and financial costs,significant financial and logistical burden on the health care system,2
significant human and financial costs,significant human and financial costs,2
significant risks of injury to both the person being carried and the care provider,significant risks of injury to both the person being carried and the care provider,1
significant stress,significant stress,1
single culture medium,single culture medium,1
single point of failure,single point of failure,1
skeletal bones become thinner,skeletal bones become thinner,2
skeletal bones become thinner,skeletal muscles become weaker,2
skin breakdown,skin breakdown,1
skin tears,skin tears,1
sleep/wake patterns,sleep/wake patterns,1
slipping accidents at home,slipping accidents at home,1
slow or halted recovery,slow or halted recovery,1
slower moving pedestrians,slower moving pedestrians,1
smartphone usage is less than 10% among seniors 75 years and older,smartphone usage is less than 10% among seniors 75 years and older,2
smartphone usage is less than 10% among seniors 75 years and older,smartphone usage is less than 5% among seniors 80 years and older,2
social and mental repercussions of falls,social and mental repercussions of falls,1
social and physical threats,social and physical threats,1
social security program is not keeping pace with changes,social security program is not keeping pace with changes,1
software viruses and other malware can result in crashing of the device,software viruses and other malware can result in crashing of the device,1
some sensors require individuals to manually activate an alarm,some sensors require individuals to manually activate an alarm,1
space needed for storage of a non-foldable wheelchair,space needed for storage of a non-foldable wheelchair,1
specific person is unlikely to rush home,specific person is unlikely to rush home,1
speed of motion or walking speed of a pedestrian,speed of motion or walking speed of a pedestrian,1
speeding,speeding,1
spontaneous abortion rate of 27%,spontaneous abortion,2
spontaneous abortion rate of 27%,spontaneous abortion rate of 27%,2
spontaneous bone fractures,spontaneous bone fractures,1
stability and preventing a physically challenged user from falling forward,stability and preventing a physically challenged user from falling forward,2
stability and preventing a physically challenged user from falling forward,stability of the user during locomotion,2
staffing needs for monitoring and caring for persons,staffing needs for monitoring and caring for persons,1
stalking,stalking,1
standard wheelchairs and scooters have no provision for assisting the user in standing or being elevated,standard wheelchairs and scooters have no provision for assisting the user in standing or being elevated,1
steady increase in the average number of medications prescribed per person,steady increase in the average number of medications prescribed per person,1
step detection,step detection,1
step-by-step process,step-by-step process,1
sterility,sterility,1
sternal pressure,sternal pressure,1
stigma surrounding mental health,stigma surrounding mental health,1
stigmatizing character attached with the use of these,stigmatizing character attached with the use of these,1
stooping (kyphosis),stooping (kyphosis),1
storage for this power in battery form adds weight,storage for this power in battery form adds weight,1
storage problem,storage problem,1
strain of transferring people,strain of transferring people,1
stress,stress,1
stress current facilities and resources designed to care for elders,stress current facilities and resources designed to care for elders,1
"stress, physical and financial strain, and adverse impacts on their health","stress, physical and financial strain, and adverse impacts on their health",1
strictly data acquisition devices,strictly data acquisition devices,1
stroke,stroke,1
strong aversion,strong aversion,1
structure fires,structure fires,1
stumble relative to the ambulatory assist device,stumble relative to the ambulatory assist device,1
stumbling,stumbling,1
sub-fertility,sub-fertility,2
sub-fertility,subfertility,2
sub-optimal cognition,sub-optimal cognition,1
subject to human error,subject to human error,1
subject-activated means for requesting emergency assistance,subject-activated means for requesting emergency assistance,1
subjective morphological evaluations,subjective and inaccurate nature of morphological assessment,3
subjective morphological evaluations,subjective assessment of static morphologic criteria,3
subjective morphological evaluations,subjective morphological evaluations,3
subsequent related obstetrical pathologies,subsequent related obstetrical pathologies,1
substantial discomfort,substantial discomfort,1
substantial limitations to such walkers when the user encounters anything other than even surfaces,substantial limitations to such walkers when the user encounters anything other than even surfaces,1
success rates are low,success of these treatments is low and unpredictable,2
success rates are low,success rates are low,2
sudden change of activity (or inactivity),sudden change of activity (or inactivity),1
sudden illness,sudden illness,1
suffer from obesity,suffer from obesity,1
suicidal thoughts,suicidal thoughts,1
supervision of daily activities,supervision of daily activities,1
supervision of health status,supervision of health status,1
support larger individuals,support larger individuals,1
suppression of granulosa cell proliferation,suppression of granulosa cell proliferation,1
surgical intervention associated with age,surgical intervention associated with age,1
symptoms of neurological and neuropsychiatric conditions,symptoms of neurological and neuropsychiatric conditions,1
targeting an individual,targeting an individual,1
technical complexity,technical complexity,1
technical failure of a vehicle,technical failure of a vehicle,1
technical hurdles to emergency calling,technical hurdles to emergency calling,1
temporary functional unavailability,temporary functional unavailability,1
tendency to abort,tendency to abort,1
tendency to marry later,tendency to marry later,1
terror attacks,terror attacks,1
the bandwidth of the light source limits the perceived depth of the image,the bandwidth of the light source limits the perceived depth of the image,1
the disabled,the disabled,1
the need to change one's focus from a distant object to a nearby object takes time,the need to change one's focus from a distant object to a nearby object takes time,1
the transmission of the sensed vital parameters to the external storage devices has to be initiated by the elderly patient,the transmission of the sensed vital parameters to the external storage devices has to be initiated by the elderly patient,1
thin endometrium,thin endometrium,1
threatening,threatening,1
threatening circumstances or high-risk situations,threatening circumstances or high-risk situations,1
threatening the independence of older persons,threatening the independence of older persons,1
throttled networks in times of crisis,throttled networks in times of crisis,1
tilt sensor has drawbacks,tilt sensor drawbacks,3
tilt sensor has drawbacks,tilt sensor has drawbacks,3
tilt sensor has drawbacks,tilt sensor has drawbacks including disabling it each time the wearer wants to lie down,3
time and attention requirements,time and attention requirements,1
time constraints,time constraints,1
time consuming process,time consuming,4
time consuming process,time consuming and costly,4
time consuming process,time consuming process,4
time consuming process,time intensive process,4
time consuming and difficult to incorporate in the daily routine of ivf clinics,time consuming and difficult to incorporate in the daily routine of ivf clinics,1
time consuming and generally very expensive home visits,time consuming and generally very expensive home visits,1
time involved with the monitoring process,time involved with the monitoring process,1
time spent alone on the floor due to a lack of desire or ability to call 911,time spent alone on the floor due to a lack of desire or ability to call 911,1
time-consuming to initiate many phone calls,time-consuming to initiate many phone calls,1
time-delayed manner of smartphone use,time-delayed manner of smartphone use,1
"timely interventions by those who are responsible for diagnosing, caring, rescuing, treating, or otherwise assisting such individuals","timely interventions by those who are responsible for diagnosing, caring, rescuing, treating, or otherwise assisting such individuals",1
timely monitoring of the health data,timely monitoring of the health data,1
tipping,tipping,1
tiring walking training,tiring walking training,1
toil and time experienced by helpers,toil and time experienced by helpers,1
too costly for the home user to acquire,too costly for the home user to acquire,1
too heavy for manual locomotion,too heavy for manual locomotion,1
too much range of motion,too much range of motion,1
tormenting,tormenting,1
tornado sirens routine and ignored,tornado sirens routine and ignored,1
total care due to paralysis,total care due to paralysis,1
total specificity,total specificity,1
tracking errors,tracking errors,2
tracking errors,tracking errors in individual cell tracking,2
